SPGTable,,,,,,,,,,,,,
Entity Name,Entity ID,Exchange,SP_SECTOR,Market Capitalization ($M),CIQ EPS Est - # of Est (actual),EPS_FY+1_Current,EPS_FY+1_1M_ago,EPS_FY+1_3M_ago,EPS_MEDIAN_EST,EPS_HIGH_EST,EPS_LOW_EST,EPS_SURPRISE,AS_OF
SP_ENTITY_NAME,SP_ENTITY_ID,SP_EXCHANGE,,SP_MARKETCAP,SP_EPS_NUM_EST,,,,,,,,
,,,,Current,FY+1,,,,,,,,
AllianceBernstein Holding L.P. (NYSE:AB),102716,NYSE,Financials,"3,498.50",7,3.62,3.62,3.32,3.62,3.73,3.49,0.30,06/03/2026
Alliant Energy Corporation (NASDAQGS:LNT),4057038,NASDAQGS,Utilities,"18,402.28",12,3.42,3.21,3.22,3.42,3.47,3.38,0.31,06/03/2026
Allient Inc. (NASDAQGM:ALNT),4991212,NASDAQGM,Industrials,"1,105.34",3,2.67,2.15,2.07,2.64,2.78,2.60,2.36,06/03/2026
"Allison Transmission Holdings, Inc. (NYSE:ALSN)",4989051,NYSE,Industrials,"9,683.29",8,8.94,7.72,7.65,9.01,9.46,8.20,-5.05,06/03/2026
Ally Financial Inc. (NYSE:ALLY),102864,NYSE,Financials,"11,767.12",16,5.24,5.24,3.75,5.24,5.45,4.93,1.60,06/03/2026
"Alnylam Pharmaceuticals, Inc. (NASDAQGS:ALNY)",4239110,NASDAQGS,Health Care,"42,526.94",24,6.71,2.36,2.38,6.69,9.48,3.56,-1.27,06/03/2026
Alphabet Inc. (NASDAQGS:GOOGL),4633618,NASDAQGS,Communication Services,"3,609,733.72",54,11.58,11.49,10.57,11.51,13.82,10.43,1.98,06/03/2026
"Alphatec Holdings, Inc. (NASDAQGS:ATEC)",4811748,NASDAQGS,Health Care,"1,851.09",3,-0.53,-0.95,-0.93,-0.53,-0.49,-0.56,-1.05,06/03/2026
"Altria Group, Inc. (NYSE:MO)",4087349,NYSE,Consumer Staples,"111,197.94",14,5.62,5.59,5.44,5.62,5.72,5.56,-0.37,06/03/2026
Alumis Inc. (NASDAQGS:ALMS),27814965,NASDAQGS,Health Care,"3,353.26",10,-2.96,-2.94,-2.92,-2.99,-2.71,-3.19,-19.59,06/03/2026
Alvotech (NASDAQGM:ALVO),26163748,NASDAQGM,Health Care,"1,255.21",4,-0.10,-0.08,-0.08,-0.07,-0.05,-0.24,-42.86,06/03/2026
"Amazon.com, Inc. (NASDAQGS:AMZN)",3001792,NASDAQGS,Consumer Discretionary,"2,287,826.34",58,7.72,7.67,7.05,7.74,8.73,6.47,1.41,06/03/2026
"Ambarella, Inc. (NASDAQGS:AMBA)",4970266,NASDAQGS,Information Technology,"2,254.77",12,0.75,0.60,0.59,0.75,0.80,0.68,3.33,06/03/2026
Amcor plc (NYSE:AMCR),4160328,NYSE,Materials,"19,997.34",12,3.98,4.00,4.03,4.00,4.09,3.74,-1.39,06/03/2026
Amdocs Limited (NASDAQGS:DOX),4103358,NASDAQGS,Information Technology,"7,498.77",5,7.46,7.46,7.45,7.45,7.53,7.40,0.14,06/03/2026
"Amentum Holdings, Inc. (NYSE:AMTM)",6924454,NYSE,Industrials,"7,320.49",11,2.41,2.40,2.40,2.40,2.50,2.34,2.78,06/03/2026
"Amer Sports, Inc. (NYSE:AS)",115686890,NYSE,Consumer Discretionary,"19,754.70",18,1.19,0.93,0.93,1.18,1.41,1.09,4.30,06/03/2026
Ameren Corporation (NYSE:AEE),4007308,NYSE,Utilities,"30,826.86",15,5.36,5.02,4.99,5.36,5.41,5.28,0.20,06/03/2026
"Ameresco, Inc. (NYSE:AMRC)",4089956,NYSE,Industrials,"1,359.02",10,1.05,0.78,0.78,1.07,1.22,0.81,6.41,06/03/2026
American Airlines Group Inc. (NASDAQGS:AAL),4065191,NASDAQGS,Industrials,"7,382.21",23,2.10,2.10,0.69,2.13,2.53,1.87,-35.71,06/03/2026
"American Eagle Outfitters, Inc. (NYSE:AEO)",4189101,NYSE,Consumer Discretionary,"3,129.19",11,1.77,1.38,1.34,1.76,1.88,1.65,8.70,06/03/2026
"American Electric Power Company, Inc. (NASDAQGS:AEP)",4006321,NASDAQGS,Utilities,"71,323.40",21,6.36,5.91,5.91,6.33,6.83,6.25,1.02,06/03/2026
American Express Company (NYSE:AXP),102700,NYSE,Financials,"206,670.82",23,17.57,17.55,15.48,17.60,17.75,17.30,-0.26,06/03/2026
"American Financial Group, Inc. (NYSE:AFG)",103424,NYSE,Financials,"10,890.49",6,11.09,11.02,9.98,11.04,11.25,11.00,3.11,06/03/2026
"American Healthcare REIT, Inc. (NYSE:AHR)",4360922,NYSE,Real Estate,"9,685.35",5,0.77,0.51,0.52,0.76,0.82,0.72,-17.65,06/03/2026
American Homes 4 Rent (NYSE:AMH),4392539,NYSE,Real Estate,"10,876.91",8,0.62,0.94,0.92,0.60,0.82,0.48,25.53,06/03/2026
