SPGTable,,,,,,,,,,,,,
Entity Name,Entity ID,Exchange,SP_SECTOR,Market Capitalization ($M),CIQ EPS Est - # of Est (actual),EPS_FY+1_Current,EPS_FY+1_1M_ago,EPS_FY+1_3M_ago,EPS_MEDIAN_EST,EPS_HIGH_EST,EPS_LOW_EST,EPS_SURPRISE,AS_OF
SP_ENTITY_NAME,SP_ENTITY_ID,SP_EXCHANGE,,SP_MARKETCAP,SP_EPS_NUM_EST,,,,,,,,
,,,,Current,FY+1,,,,,,,,
"Regeneron Pharmaceuticals, Inc. (NASDAQGS:REGN)",4094029,NASDAQGS,Health Care,"77,972.58",27,44.83,44.56,43.23,46.13,49.79,32.31,2.47,06/03/2026
Regions Financial Corporation (NYSE:RF),100233,NYSE,Financials,"23,349.22",17,2.60,2.60,2.37,2.60,2.67,2.53,-1.69,06/03/2026
"Reinsurance Group of America, Incorporated (NYSE:RGA)",103450,NYSE,Financials,"13,582.72",10,26.40,25.98,21.26,27.00,27.25,24.26,8.29,06/03/2026
"Relay Therapeutics, Inc. (NASDAQGM:RLAY)",5329443,NASDAQGM,Health Care,"1,767.60",8,-1.57,-1.74,-1.73,-1.58,-1.25,-1.96,7.47,06/03/2026
"Reliance, Inc. (NYSE:RS)",4365157,NYSE,Materials,"15,688.63",8,17.22,14.66,14.62,17.61,18.39,14.25,-2.73,06/03/2026
RenaissanceRe Holdings Ltd. (NYSE:RNR),103554,NYSE,Financials,"12,993.62",17,37.72,37.30,34.77,37.55,41.24,34.41,7.36,06/03/2026
Renasant Corporation (NYSE:RNST),100541,NYSE,Financials,"3,487.97",7,3.57,3.59,2.94,3.58,3.72,3.47,4.08,06/03/2026
ReNew Energy Global Plc (NASDAQGS:RNW),6520282,NASDAQGS,Utilities,"1,937.53",3,0.20,0.22,0.22,0.26,0.27,0.07,315.77,06/03/2026
Repligen Corporation (NASDAQGS:RGEN),4325751,NASDAQGS,Health Care,"6,759.17",18,1.96,1.67,1.67,1.96,2.00,1.93,2.40,06/03/2026
"Republic Services, Inc. (NYSE:RSG)",4102003,NYSE,Industrials,"71,349.39",26,7.25,6.90,6.89,7.24,7.43,7.00,1.74,06/03/2026
ResMed Inc. (NYSE:RMD),4811222,NYSE,Health Care,"36,837.70",19,11.03,11.03,10.90,11.06,11.23,10.35,0.53,06/03/2026
Restaurant Brands International Inc. (NYSE:QSR),4591210,NYSE,Consumer Discretionary,"25,634.38",31,4.06,3.68,3.68,4.05,4.24,3.88,0.27,06/03/2026
"Revolution Medicines, Inc. (NASDAQGS:RVMD)",5291924,NASDAQGS,Health Care,"19,500.26",19,-7.66,-5.59,-5.59,-7.78,-5.85,-8.38,-6.63,06/03/2026
"Revolve Group, Inc. (NYSE:RVLV)",11211045,NYSE,Consumer Discretionary,"1,802.18",8,0.95,0.78,0.78,0.94,1.08,0.78,12.82,06/03/2026
"Revvity, Inc. (NYSE:RVTY)",4812263,NYSE,Health Care,"10,211.75",16,5.41,5.41,4.92,5.40,5.45,5.40,2.22,06/03/2026
"Rexford Industrial Realty, Inc. (NYSE:REXR)",4391243,NYSE,Real Estate,"8,294.85",5,1.15,1.19,1.38,1.06,1.42,1.02,-38.57,06/03/2026
Reynolds Consumer Products Inc. (NASDAQGS:REYN),4355730,NASDAQGS,Consumer Staples,"4,774.80",7,1.59,1.59,1.63,1.60,1.61,1.57,0.00,06/03/2026
RH (NYSE:RH),4910572,NYSE,Consumer Discretionary,"2,669.44",20,6.96,6.96,8.94,6.93,7.28,6.66,-7.07,06/03/2026
"Rhythm Pharmaceuticals, Inc. (NASDAQGM:RYTM)",5302933,NASDAQGM,Health Care,"6,386.02",13,-3.11,-3.17,-3.13,-3.15,-1.52,-3.88,1.89,06/03/2026
"RingCentral, Inc. (NYSE:RNG)",4406983,NYSE,Information Technology,"3,532.73",16,4.84,4.32,4.32,4.82,5.03,4.64,0.93,06/03/2026
Rithm Capital Corp. (NYSE:RITM),4347089,NYSE,Financials,"5,364.36",7,2.27,2.26,2.17,2.28,2.32,2.20,8.29,06/03/2026
"Rivian Automotive, Inc. (NASDAQGS:RIVN)",7600444,NASDAQGS,Consumer Discretionary,"19,067.81",19,-2.45,-2.59,-2.58,-2.34,-2.04,-3.06,7.72,06/03/2026
RLI Corp. (NYSE:RLI),103386,NYSE,Financials,"5,671.47",8,2.82,2.82,3.38,2.80,3.00,2.65,1.76,06/03/2026
RLJ Lodging Trust (NYSE:RLJ),4279712,NYSE,Real Estate,"1,175.57",1,-0.09,-0.01,0.00,-0.09,-0.09,-0.09,200.00,06/03/2026
RLX Technology Inc. (NYSE:RLX),27474513,NYSE,Consumer Staples,"2,741.50",4,0.12,0.12,0.12,0.12,0.13,0.11,2.86,06/03/2026
Robert Half Inc. (NYSE:RHI),4054105,NYSE,Industrials,"2,460.81",10,1.48,1.50,1.33,1.42,1.77,1.33,0.00,06/03/2026
"Robinhood Markets, Inc. (NASDAQGS:HOOD)",4580570,NASDAQGS,Financials,"69,404.77",15,2.30,2.04,2.00,2.30,2.60,2.02,0.49,06/03/2026
Roblox Corporation (NYSE:RBLX),5123418,NYSE,Communication Services,"45,024.10",17,-1.63,-1.57,-1.56,-1.65,-1.33,-1.84,1.28,06/03/2026
"Rocket Companies, Inc. (NYSE:RKT)",21466716,NYSE,Financials,"42,156.24",11,0.82,0.24,0.23,0.84,0.93,0.66,16.67,06/03/2026
"Rockwell Automation, Inc. (NYSE:ROK)",4095448,NYSE,Industrials,"41,553.33",29,12.12,12.09,11.95,12.06,12.69,11.65,4.99,06/03/2026
Rogers Corporation (NYSE:ROG),4963895,NYSE,Information Technology,"1,846.59",3,3.24,2.11,2.11,3.25,3.40,3.07,13.27,06/03/2026
Roivant Sciences Ltd. (NASDAQGS:ROIV),5290844,NASDAQGS,Health Care,"20,597.88",7,-1.26,-1.19,-1.16,-1.24,-1.16,-1.42,27.27,06/03/2026
"Roku, Inc. (NASDAQGS:ROKU)",6225324,NASDAQGS,Communication Services,"14,820.32",26,2.07,0.33,0.31,2.13,2.69,1.40,78.79,06/03/2026
"Rollins, Inc. (NYSE:ROL)",4004396,NYSE,Industrials,"28,038.05",16,1.25,1.14,1.14,1.25,1.28,1.19,-1.75,06/03/2026
"Roper Technologies, Inc. (NASDAQGS:ROP)",4677071,NASDAQGS,Information Technology,"37,825.86",18,21.46,21.46,19.93,21.44,21.74,21.30,0.20,06/03/2026
"Ross Stores, Inc. (NASDAQGS:ROST)",4070608,NASDAQGS,Consumer Discretionary,"68,489.46",16,7.32,6.48,6.44,7.35,7.45,7.11,1.54,06/03/2026
Royal Caribbean Cruises Ltd. (NYSE:RCL),4980858,NYSE,Consumer Discretionary,"75,228.51",26,18.11,18.11,15.64,18.10,18.78,17.71,-0.06,06/03/2026
"Royal Gold, Inc. (NASDAQGS:RGLD)",4216479,NASDAQGS,Materials,"23,733.26",11,12.71,8.02,7.92,12.57,15.00,10.95,-8.60,06/03/2026
Royalty Pharma plc (NASDAQGS:RPRX),20262963,NASDAQGS,Health Care,"19,454.49",7,5.06,4.62,4.63,5.18,5.25,4.39,4.55,06/03/2026
"RPC, Inc. (NYSE:RES)",4978055,NYSE,Energy,"1,333.30",4,0.21,0.26,0.28,0.21,0.24,0.18,-10.71,06/03/2026
RPM International Inc. (NYSE:RPM),4985921,NYSE,Materials,"13,081.65",15,5.27,5.27,5.67,5.25,5.37,5.15,2.51,06/03/2026
RTX Corporation (NYSE:RTX),4001600,NYSE,Industrials,"281,558.26",21,6.81,6.80,6.21,6.80,6.94,6.63,1.45,06/03/2026
"Rubrik, Inc. (NYSE:RBRK)",5294421,NYSE,Information Technology,"11,442.09",22,-0.17,-0.17,-0.17,-0.17,-0.15,-0.19,14.67,06/03/2026
"Rush Street Interactive, Inc. (NYSE:RSI)",22795226,NYSE,Consumer Discretionary,"2,137.96",6,0.55,0.40,0.40,0.58,0.61,0.48,-7.50,06/03/2026
"RXO, Inc. (NYSE:RXO)",106554287,NYSE,Industrials,"2,256.03",19,0.00,0.04,0.01,0.00,0.14,-0.13,-100.00,06/03/2026
"Ryan Specialty Holdings, Inc. (NYSE:RYAN)",4250588,NYSE,Financials,"5,150.92",18,2.29,2.01,2.02,2.30,2.40,2.20,-2.49,06/03/2026
"Ryder System, Inc. (NYSE:R)",105364,NYSE,Industrials,"7,841.28",10,14.09,12.88,12.88,14.00,14.67,13.86,0.31,06/03/2026
"Ryman Hospitality Properties, Inc. (NYSE:RHP)",4060183,NYSE,Real Estate,"5,966.67",4,3.97,3.52,3.52,3.95,4.15,3.84,7.10,06/03/2026
S&P Global Inc. (NYSE:SPGI),4023623,NYSE,Financials,"135,154.21",24,19.62,17.86,17.81,19.60,19.94,18.95,-0.17,06/03/2026
"S&T Bancorp, Inc. (NASDAQGS:STBA)",100445,NASDAQGS,Financials,"1,488.63",7,3.62,3.62,3.51,3.60,3.69,3.56,-0.57,06/03/2026
"Sabra Health Care REIT, Inc. (NASDAQGS:SBRA)",4259507,NASDAQGS,Real Estate,"5,148.82",7,0.69,0.70,0.70,0.70,0.73,0.64,-8.57,06/03/2026
Safehold Inc. (NYSE:SAFE),5429719,NYSE,Real Estate,"1,105.05",6,1.72,1.64,1.66,1.72,1.75,1.70,0.61,06/03/2026
"Saia, Inc. (NASDAQGS:SAIA)",4994166,NASDAQGS,Industrials,"9,569.96",21,10.62,9.39,9.31,10.56,11.05,10.00,-2.98,06/03/2026
"SailPoint, Inc. (NASDAQGS:SAIL)",132399003,NASDAQGS,Information Technology,"8,643.42",22,0.23,0.24,0.21,0.23,0.26,0.21,-266.67,06/03/2026
"Salesforce, Inc. (NYSE:CRM)",4205848,NYSE,Information Technology,"186,547.53",54,13.17,11.77,11.77,13.16,13.84,12.60,6.37,06/03/2026
"Sally Beauty Holdings, Inc. (NYSE:SBH)",4199608,NYSE,Consumer Discretionary,"1,434.76",5,2.07,2.07,2.06,2.07,2.10,2.04,3.83,06/03/2026
Samsara Inc. (NYSE:IOT),5297753,NYSE,Information Technology,"20,402.86",20,0.68,0.49,0.51,0.68,0.74,0.65,14.29,06/03/2026
"Sana Biotechnology, Inc. (NASDAQGS:SANA)",13588274,NASDAQGS,Health Care,840.63,8,-0.65,-0.88,-0.88,-0.65,-0.53,-0.81,-9.09,06/03/2026
Sandisk Corporation (NASDAQGS:SNDK),132983190,NASDAQGS,Information Technology,"77,834.42",16,39.84,39.56,12.80,39.21,44.06,36.82,11.99,06/03/2026
Sanmina Corporation (NASDAQGS:SANM),4122602,NASDAQGS,Information Technology,"6,716.40",3,10.06,10.06,9.65,10.06,10.09,10.02,1.51,06/03/2026
"Sarepta Therapeutics, Inc. (NASDAQGS:SRPT)",4401941,NASDAQGS,Health Care,"1,754.38",18,3.15,-5.36,-5.46,3.18,4.48,0.82,-33.02,06/03/2026
Savara Inc. (NASDAQGS:SVRA),5175520,NASDAQGS,Health Care,"1,302.17",6,-0.52,-0.52,-0.52,-0.52,-0.51,-0.52,2.04,06/03/2026
"Savers Value Village, Inc. (NYSE:SVV)",10745099,NYSE,Consumer Discretionary,"1,353.65",11,0.49,0.46,0.45,0.49,0.53,0.47,-2.17,06/03/2026
SBA Communications Corporation (NASDAQGS:SBAC),4829067,NASDAQGS,Real Estate,"20,795.92",8,7.49,9.66,9.66,7.49,7.69,7.29,1.87,06/03/2026
"Schneider National, Inc. (NYSE:SNDR)",4070738,NYSE,Industrials,"4,495.63",15,0.84,0.84,0.70,0.85,1.04,0.75,-10.00,06/03/2026
Scholar Rock Holding Corporation (NASDAQGS:SRRK),9761244,NASDAQGS,Health Care,"5,203.06",12,-3.25,-3.43,-3.44,-3.23,-2.63,-3.75,4.08,06/03/2026
Scorpio Tankers Inc. (NYSE:STNG),4980633,NYSE,Energy,"3,620.34",8,5.89,5.47,5.52,6.20,8.00,3.69,0.18,06/03/2026
Sea Limited (NYSE:SE),5994925,NYSE,Consumer Discretionary,"54,453.99",11,4.01,3.50,3.50,4.11,5.36,3.06,-9.43,06/03/2026
Seacoast Banking Corporation of Florida (NASDAQGS:SBCF),100425,NASDAQGS,Financials,"2,936.11",5,2.52,2.52,1.88,2.51,2.58,2.48,-3.66,06/03/2026
Seadrill Limited (NYSE:SDRL),4277469,NYSE,Energy,"2,624.13",3,0.32,-1.05,-1.11,0.22,0.76,-0.01,-18.10,06/03/2026
Seagate Technology Holdings plc (NASDAQGS:STX),4794937,NASDAQGS,Information Technology,"79,036.15",20,13.02,12.95,11.38,13.00,13.47,12.64,2.02,06/03/2026
Sealed Air Corporation (NYSE:SEE),4766281,NYSE,Materials,"6,186.75",7,3.44,3.31,3.32,3.45,3.48,3.39,0.60,06/03/2026
SEI Investments Company (NASDAQGS:SEIC),102729,NASDAQGS,Financials,"9,955.89",6,5.67,5.69,4.97,5.69,5.75,5.57,13.28,06/03/2026
Select Medical Holdings Corporation (NYSE:SEM),4583780,NYSE,Health Care,"2,015.30",6,1.24,1.23,1.23,1.26,1.30,1.17,-5.69,06/03/2026
"Selective Insurance Group, Inc. (NASDAQGS:SIGI)",103451,NASDAQGS,Financials,"4,811.36",8,7.92,8.02,7.00,7.89,8.50,7.35,7.42,06/03/2026
Sempra (NYSE:SRE),4057062,NYSE,Utilities,"60,513.71",15,5.10,4.60,4.56,5.10,5.21,4.99,1.96,06/03/2026
"Semrush Holdings, Inc. (NYSE:SEMR)",27837950,NYSE,Information Technology,"1,792.55",5,0.41,0.34,0.34,0.41,0.43,0.36,14.71,06/03/2026
Semtech Corporation (NASDAQGS:SMTC),4945122,NASDAQGS,Information Technology,"7,590.14",12,1.69,1.70,1.70,1.69,1.70,1.69,14.29,06/03/2026
Sensata Technologies Holding plc (NYSE:ST),4992057,NYSE,Industrials,"4,804.48",15,3.64,3.40,3.39,3.64,3.73,3.55,0.59,06/03/2026
Sensient Technologies Corporation (NYSE:SXT),4145781,NYSE,Materials,"3,890.21",3,3.72,3.54,3.54,3.70,3.76,3.70,-1.69,06/03/2026
"SentinelOne, Inc. (NYSE:S)",5263639,NYSE,Information Technology,"4,822.74",37,0.19,0.19,0.19,0.19,0.26,0.16,150.00,06/03/2026
"Septerna, Inc. (NASDAQGM:SEPN)",105582727,NASDAQGM,Health Care,"1,288.60",4,-0.99,-0.94,-1.02,-1.02,-0.78,-1.15,5.10,06/03/2026
Service Corporation International (NYSE:SCI),4024109,NYSE,Consumer Discretionary,"11,353.69",6,4.21,3.85,3.85,4.20,4.24,4.20,0.00,06/03/2026
"ServiceNow, Inc. (NYSE:NOW)",4587650,NYSE,Information Technology,"130,059.64",43,4.16,4.16,3.47,4.19,4.36,3.48,0.86,06/03/2026
"ServiceTitan, Inc. (NASDAQGS:TTAN)",5268655,NASDAQGS,Information Technology,"7,767.99",17,0.93,0.93,0.93,0.94,0.96,0.90,116.67,06/03/2026
"ServisFirst Bancshares, Inc. (NYSE:SFBS)",4188426,NYSE,Financials,"4,116.07",3,6.35,6.35,5.06,6.35,6.45,6.25,3.75,06/03/2026
SFL Corporation Ltd. (NYSE:SFL),4980638,NYSE,Energy,"1,427.58",4,0.04,0.06,0.06,-0.01,0.29,-0.10,150.00,06/03/2026
Shake Shack Inc. (NYSE:SHAK),4912695,NYSE,Consumer Discretionary,"3,762.08",25,1.36,1.29,1.32,1.36,1.55,1.26,2.33,06/03/2026
"SharkNinja, Inc. (NYSE:SN)",109836805,NYSE,Consumer Discretionary,"15,692.08",13,6.06,5.15,5.15,6.04,6.24,5.95,2.33,06/03/2026
"Shift4 Payments, Inc. (NYSE:FOUR)",4225979,NYSE,Financials,"3,888.93",21,5.60,5.23,5.22,5.60,5.84,5.50,-1.15,06/03/2026
Shopify Inc. (NASDAQGS:SHOP),4421687,NASDAQGS,Information Technology,"169,795.30",42,1.82,1.45,1.45,1.82,2.24,1.32,-1.38,06/03/2026
Signet Jewelers Limited (NYSE:SIG),4094676,NYSE,Consumer Discretionary,"3,692.93",10,9.30,9.30,9.29,9.27,9.65,9.05,3.00,06/03/2026
Silgan Holdings Inc. (NYSE:SLGN),4983480,NYSE,Materials,"4,682.68",11,3.80,3.80,3.69,3.80,3.85,3.75,0.81,06/03/2026
Silicon Laboratories Inc. (NASDAQGS:SLAB),4963535,NASDAQGS,Information Technology,"6,680.17",10,2.71,2.71,0.91,2.71,3.00,2.50,1.10,06/03/2026
Silicon Motion Technology Corporation (NASDAQGS:SIMO),4967296,NASDAQGS,Information Technology,"4,021.97",8,5.66,5.66,3.59,5.69,5.84,5.47,-1.11,06/03/2026
Simmons First National Corporation (NASDAQGS:SFNC),100431,NASDAQGS,Financials,"2,816.23",6,2.01,2.01,1.67,2.00,2.08,1.96,4.22,06/03/2026
"Simon Property Group, Inc. (NYSE:SPG)",103117,NYSE,Real Estate,"63,310.65",7,6.24,6.19,6.45,6.24,6.46,5.94,117.33,06/03/2026
"Simpson Manufacturing Co., Inc. (NYSE:SSD)",4014951,NYSE,Industrials,"7,701.61",3,8.91,8.07,8.07,9.00,9.00,8.74,-1.24,06/03/2026
"Sinclair, Inc. (NASDAQGS:SBGI)",4121692,NASDAQGS,Communication Services,"1,117.26",3,0.98,-3.22,-3.23,0.93,1.30,0.72,50.00,06/03/2026
"Sionna Therapeutics, Inc. (NASDAQGM:SION)",105982284,NASDAQGM,Health Care,"1,616.78",8,-2.25,-2.03,-2.03,-2.25,-1.69,-2.85,7.39,06/03/2026
Sirius XM Holdings Inc. (NASDAQGS:SIRI),4104069,NASDAQGS,Communication Services,"7,448.70",6,3.11,3.12,2.87,3.10,3.25,3.01,13.24,06/03/2026
"SiteOne Landscape Supply, Inc. (NYSE:SITE)",4417117,NYSE,Industrials,"5,818.84",8,4.52,3.77,3.82,4.49,4.64,4.46,5.31,06/03/2026
SiTime Corporation (NASDAQGM:SITM),5095746,NASDAQGM,Information Technology,"8,609.28",8,5.11,5.11,2.83,5.12,5.38,4.81,12.68,06/03/2026
Six Flags Entertainment Corporation (NYSE:FUN),4121677,NYSE,Consumer Discretionary,"1,635.01",6,-0.36,-15.14,-15.17,-0.36,0.37,-1.00,NA,06/03/2026
"Sixth Street Specialty Lending, Inc. (NYSE:TSLX)",4278914,NYSE,Financials,"1,735.95",9,1.98,2.17,2.18,1.98,2.06,1.94,7.37,06/03/2026
"Skyward Specialty Insurance Group, Inc. (NASDAQGS:SKWD)",4277771,NASDAQGS,Financials,"2,165.99",12,4.87,3.85,3.83,4.85,5.10,4.80,3.90,06/03/2026
"SkyWest, Inc. (NASDAQGS:SKYW)",4994493,NASDAQGS,Industrials,"3,718.63",6,11.49,11.49,10.36,11.50,11.60,11.25,1.37,06/03/2026
"Skyworks Solutions, Inc. (NASDAQGS:SWKS)",4967090,NASDAQGS,Information Technology,"8,238.22",22,4.67,4.68,4.40,4.71,4.92,4.03,4.04,06/03/2026
SL Green Realty Corp. (NYSE:SLG),113065,NYSE,Real Estate,"2,752.46",6,-2.31,-2.42,-0.73,-2.27,-1.77,-2.95,-78.89,06/03/2026
SLB N.V. (NYSE:SLB),4011047,NYSE,Energy,"70,403.15",25,2.91,2.91,2.89,2.90,3.22,2.72,1.38,06/03/2026
"Slide Insurance Holdings, Inc. (NASDAQGS:SLDE)",101214465,NASDAQGS,Financials,"2,297.42",5,3.26,2.99,2.83,3.30,3.40,3.01,12.37,06/03/2026
SLM Corporation (NASDAQGS:SLM),4536259,NASDAQGS,Financials,"3,782.77",9,2.73,2.73,3.23,2.74,2.80,2.65,6.13,06/03/2026
SM Energy Company (NYSE:SM),4011069,NYSE,Energy,"6,190.19",10,3.82,5.44,5.52,3.78,5.21,2.77,0.18,06/03/2026
"Smithfield Foods, Inc. (NASDAQGS:SFD)",4128566,NASDAQGS,Consumer Staples,"9,540.85",6,2.38,2.38,2.38,2.38,2.42,2.35,1.08,06/03/2026
Smurfit Westrock Plc (NYSE:SW),4217596,NYSE,Materials,"22,402.17",10,2.49,2.40,2.47,2.51,2.72,2.20,-11.44,06/03/2026
Snap Inc. (NYSE:SNAP),4616846,NYSE,Communication Services,"8,714.99",23,0.50,0.49,0.33,0.48,0.69,0.33,15.15,06/03/2026
Snap-on Incorporated (NYSE:SNA),4007403,NYSE,Industrials,"19,318.95",5,19.95,19.99,18.88,20.01,20.24,19.60,0.00,06/03/2026
Snowflake Inc. (NYSE:SNOW),5285926,NYSE,Information Technology,"61,760.26",49,1.79,1.20,1.21,1.78,2.15,1.56,4.17,06/03/2026
Sociedad Qu¡mica y Minera de Chile S.A. (NYSE:SQM),4354366,NYSE,Materials,"20,106.05",13,4.93,2.21,2.24,5.09,6.24,3.41,-7.21,06/03/2026
"SoFi Technologies, Inc. (NASDAQGS:SOFI)",4346995,NASDAQGS,Financials,"24,102.49",17,0.60,0.61,0.37,0.60,0.62,0.59,5.41,06/03/2026
"SolarEdge Technologies, Inc. (NASDAQGS:SEDG)",4877075,NASDAQGS,Information Technology,"2,016.84",21,0.09,-2.60,-2.61,0.15,0.81,-0.70,8.46,06/03/2026
"Solaris Energy Infrastructure, Inc. (NYSE:SEI)",6643905,NYSE,Energy,"2,600.56",7,1.47,1.14,1.15,1.50,1.79,1.11,9.65,06/03/2026
"Solstice Advanced Materials, Inc. (NASDAQGS:SOLS)",141737990,NASDAQGS,Materials,"11,456.81",5,2.67,NA,NA,2.66,2.70,2.64,-21.58,06/03/2026
Solventum Corporation (NYSE:SOLV),116229413,NYSE,Health Care,"12,042.15",13,6.47,6.02,6.02,6.50,6.52,6.35,1.50,06/03/2026
Somnigroup International Inc. (NYSE:SGI),4912170,NYSE,Consumer Discretionary,"16,827.25",10,3.30,2.69,2.69,3.31,3.40,3.20,0.00,06/03/2026
"Sonic Automotive, Inc. (NYSE:SAH)",4070924,NYSE,Consumer Discretionary,"2,056.86",10,6.67,6.60,6.67,6.76,7.01,5.80,0.00,06/03/2026
Sonoco Products Company (NYSE:SON),4063000,NYSE,Materials,"5,261.67",10,5.97,5.66,5.67,6.00,6.05,5.85,0.88,06/03/2026
Sotera Health Company (NASDAQGS:SHC),5005648,NASDAQGS,Health Care,"4,170.61",10,0.96,0.84,0.84,0.97,0.98,0.91,2.38,06/03/2026
"SoundHound AI, Inc. (NASDAQGM:SOUN)",5109836,NASDAQGM,Information Technology,"3,412.11",7,-0.33,-0.23,-0.24,-0.32,-0.25,-0.41,86.96,06/03/2026
Southern Copper Corporation (NYSE:SCCO),4354459,NYSE,Materials,"152,797.33",9,7.13,6.98,5.00,7.07,8.30,6.30,1.36,06/03/2026
SouthState Bank Corporation (NYSE:SSB),1019950,NYSE,Financials,"9,277.29",13,9.54,9.54,9.29,9.50,10.00,9.30,3.26,06/03/2026
Southwest Airlines Co. (NYSE:LUV),4121199,NYSE,Industrials,"20,419.18",22,4.26,4.19,1.04,4.25,5.17,2.73,-2.11,06/03/2026
"Spectrum Brands Holdings, Inc. (NYSE:SPB)",4281626,NYSE,Consumer Staples,"1,775.40",8,5.10,5.00,4.43,5.21,5.84,3.85,45.19,06/03/2026
Sphere Entertainment Co. (NYSE:SPHR),20034948,NYSE,Communication Services,"4,005.35",5,-2.55,-0.91,-1.25,-2.59,-2.02,-3.04,181.32,06/03/2026
Spire Inc. (NYSE:SR),4002506,NYSE,Utilities,"5,419.75",8,5.18,5.18,5.15,5.30,5.39,4.34,-1.77,06/03/2026
Sportradar Group AG (NASDAQGS:SRAD),29619517,NASDAQGS,Consumer Discretionary,"5,545.55",17,0.53,0.45,0.45,0.53,0.62,0.40,-22.50,06/03/2026
Spotify Technology S.A. (NYSE:SPOT),5252256,NYSE,Communication Services,"116,334.49",33,15.23,8.29,8.27,14.92,20.13,12.40,43.19,06/03/2026
"Sprinklr, Inc. (NYSE:CXM)",4589201,NYSE,Information Technology,"1,467.78",9,0.45,0.45,0.45,0.45,0.46,0.45,9.38,06/03/2026
"Sprouts Farmers Market, Inc. (NASDAQGS:SFM)",4096386,NASDAQGS,Consumer Staples,"7,589.76",15,5.58,5.27,5.27,5.58,5.68,5.45,0.76,06/03/2026
"SPS Commerce, Inc. (NASDAQGS:SPSC)",4963552,NASDAQGS,Information Technology,"2,382.55",12,4.49,4.13,4.13,4.48,4.66,4.44,3.39,06/03/2026
"SPX Technologies, Inc. (NYSE:SPXC)",4149685,NYSE,Industrials,"10,205.81",10,7.81,6.74,6.74,7.87,8.00,7.11,0.30,06/03/2026
"Spyre Therapeutics, Inc. (NASDAQGS:SYRE)",4812362,NASDAQGS,Health Care,"3,153.39",12,-2.86,-2.12,-2.11,-2.80,-2.01,-3.99,6.60,06/03/2026
"SS&C Technologies Holdings, Inc. (NASDAQGS:SSNC)",4090270,NASDAQGS,Industrials,"18,303.62",5,6.80,6.84,6.06,6.83,6.83,6.69,1.15,06/03/2026
"STAG Industrial, Inc. (NYSE:STAG)",4263385,NYSE,Real Estate,"7,278.48",4,1.02,1.22,1.25,1.01,1.23,0.83,19.67,06/03/2026
Stagwell Inc. (NASDAQGS:STGW),14390883,NASDAQGS,Communication Services,"1,325.62",8,0.80,0.80,0.80,0.80,0.83,0.77,0.00,06/03/2026
"StandardAero, Inc. (NYSE:SARO)",7390107,NYSE,Industrials,"9,603.74",10,1.23,0.84,0.85,1.21,1.39,1.12,-1.19,06/03/2026
Standex International Corporation (NYSE:SXI),4150603,NYSE,Industrials,"3,040.47",5,8.86,8.86,8.85,8.77,9.20,8.64,3.50,06/03/2026
"Stanley Black & Decker, Inc. (NYSE:SWK)",4102347,NYSE,Industrials,"11,798.45",15,5.37,5.41,4.54,5.40,5.55,5.05,2.64,06/03/2026
Star Bulk Carriers Corp. (NASDAQGS:SBLK),4995023,NASDAQGS,Industrials,"2,638.80",2,4.12,0.81,0.98,4.12,4.62,3.63,21.25,06/03/2026
Starbucks Corporation (NASDAQGS:SBUX),4071032,NASDAQGS,Consumer Discretionary,"112,775.55",35,2.29,2.28,2.39,2.30,2.51,2.14,-1.39,06/03/2026
"Starwood Property Trust, Inc. (NYSE:STWD)",4235133,NYSE,Financials,"6,651.94",7,1.80,1.68,1.69,1.79,1.90,1.76,0.60,06/03/2026
State Street Corporation (NYSE:STT),100447,NYSE,Financials,"33,737.26",15,11.65,11.62,10.15,11.63,12.00,11.45,1.18,06/03/2026
"Steel Dynamics, Inc. (NASDAQGS:STLD)",4120616,NASDAQGS,Materials,"26,312.09",12,13.94,13.89,8.56,13.71,16.10,12.45,1.27,06/03/2026
"Stellar Bancorp, Inc. (NYSE:STEL)",4222469,NYSE,Financials,"1,878.57",3,2.18,2.18,1.99,2.21,2.22,2.10,0.00,06/03/2026
StepStone Group Inc. (NASDAQGS:STEP),4205752,NASDAQGS,Financials,"3,659.37",6,2.13,2.09,2.05,2.11,2.25,2.08,13.26,06/03/2026
STERIS plc (NYSE:STE),4810920,NYSE,Health Care,"22,607.27",9,10.20,10.22,10.21,10.20,10.25,10.16,2.98,06/03/2026
"Sterling Infrastructure, Inc. (NASDAQGS:STRL)",4991506,NASDAQGS,Industrials,"12,107.79",5,13.52,10.32,10.26,13.79,13.87,12.64,5.12,06/03/2026
Stevanato Group S.p.A. (NYSE:STVN),6263905,NYSE,Health Care,"4,206.99",11,0.72,0.61,0.61,0.71,0.78,0.69,3.28,06/03/2026
"Steven Madden, Ltd. (NASDAQGS:SHOO)",4341109,NASDAQGS,Consumer Discretionary,"2,470.25",9,2.09,1.69,1.69,2.10,2.25,1.84,0.59,06/03/2026
Stewart Information Services Corporation (NYSE:STC),103414,NYSE,Financials,"2,038.10",3,5.93,5.77,4.56,6.00,6.25,5.54,6.77,06/03/2026
Stifel Financial Corp. (NYSE:SF),102777,NYSE,Financials,"11,322.74",7,6.49,6.50,4.91,6.50,6.63,6.35,2.04,06/03/2026
"Stock Yards Bancorp, Inc. (NASDAQGS:SYBT)",100548,NASDAQGS,Financials,"1,905.22",6,4.92,4.92,4.71,4.91,5.05,4.80,0.85,06/03/2026
